instruct_text,this_pic,rolePic,job,instruct_text2,Q1,Q2,Q3,Q4,D1,D2,roleName,instructText,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6708913170004962,,,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
"In this task, you'll be assuming various perspectives of jobs while reading stories. ",None,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4524999650020618,,,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
"First, you’ll be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5360917309990327,,,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
"For example, you may be asked to take on the perspective of a Restaurant Critic while you read a story that takes place in a restaurant. ",jobphotos/restaurant_critic.jpg,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.585723316999065,,,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
"You’ll learn 4 questions associated with each perspective, and you’ll use these to interrogate the stories while assuming that perspective. ",instructions_photos/i2.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.452667248002399,,,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
"For example, if you are a Restaurant Critic, you’ll learn to ask questions about the restaurant decor, menus, and the enjoyment of the food. ",jobphotos/restaurant_critic.jpg,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.43615256000339286,,,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
"After learning all the questions in a series of pre-task quizzes, you’ll read 8 stories, applying one perspective you’ve learned to each one. ",instructions_photos/i3.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.369705500001146,,,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
"While reading, try to keep in mind the perspective and questions. ",instructions_photos/i3.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8190775620023487,,,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.386826302001282,,,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
Try to remember the stories and the answers to the questions as you read them for these later tasks. ,None,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,15.353854786997545,,,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
Let’s begin! The 8 perspectives are as follows:,None,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.1359721650005667,,,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7505794520002382,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,space,51.27344240799721,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.06925915999818244,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1194940180030244,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08652050999808125,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.052931160000298405,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08626874999754364,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
You’ll become acquainted with these perspectives more in the following pre-task quizzes where you’ll learn the questions associated with each perspective. ,,,,(press space to continue),,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7030951950000599,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
You’ll first go through all four questions for each perspective. ,,,,None,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
,,jobphotos/gscem.jpg,,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How is the checkout line and how long do the clients wait in line?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.9363653500004148,space,0.31963900000118883,space,0.3503234400013753,space,0.13584928999989643,space,0.3008801249998214,space,0.4861591579974629,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
,,jobphotos/gscem.jpg,,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How is the checkout line and how long do the clients wait in line?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
,,jobphotos/business_reporter.jpg,,,What industry are the business people in?,What is being negotiated and how much money is at stake?,What is the response to the proposed deal?,What comes about from the business proposal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,space,0.45309880999775487,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
,,jobphotos/business_reporter.jpg,,,What industry are the business people in?,What is being negotiated and how much money is at stake?,What is the response to the proposed deal?,What comes about from the business proposal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
,,,,,,,,,,,,Good job! You’ve finished the pre-task quizzes. Please notify the researcher that you have finished. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,None,',001,2019_Mar_01_1115,part1_subjective_segmentation,3.0.4,59.874376493019966,
