instruct_text,instruct_text2,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.28521919701597653,,,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
"In this task, you will read 16 stories. During each one you will simulate having one job.
",None,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.11838361900299788,,,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
This job will be assigned to you before each story. ,None,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.11828451001201756,,,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
"While reading each story, you should imagine yourself as having that job. ",None,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.1351410289935302,,,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
There are 8 possible jobs you could be asked to simulate.,None,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.15220844699069858,,,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
These jobs are as follows:,None,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,space,0.11868763898382895,,,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
,,dean.jpg,Dean of Academic Studies,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,space,0.08473752599093132,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
,,restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,space,0.11816794300102629,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,space,0.03500908799469471,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
,,weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,space,0.051334679999854416,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
,,couples.jpeg,"Couples Therapist
",,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,space,0.31841195200104266,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
,,business_reporter.jpg,Business Reporter,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,space,0.26804179602186196,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
,,acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,0,6,6,4,,,,,,,,,,,,,,,space,0.2681632309977431,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
,,matchmaker.jpg,Matchmaker,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,space,0.26868070801720023,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
"In addition, your task will be to answer job-related questions.
",(press the space bar to continue),,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,space,0.26880117299151607,,,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
There are four question per job.,None,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,space,0.4350038119882811,,,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
You will have to try to memorize these questions in order and then remember your answers to the questions.,None,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,space,0.3676778730005026,,,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
You will be asked about the answers to these questions at end of the experiment. ,None,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,space,0.36916454799938947,,,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
"In order to help you memorize the questions, there will be a short quiz on them before the actual task begins.",None,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,space,0.4507059220049996,,,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
"In addition, before each story, there will be a reminder of what these questions are.  ",None,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,space,0.6355054940213449,,,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
Press the space bar to begin learning the jobs and the questions for each one.,None,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,space,0.36866843001917005,,,,,,,,,,,,,1,001,2018_Nov_12_1654,part1,59.744631012329634,
,,gscem.jpg,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How is the checkout line and how long do the clients wait in line?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customersâ€™ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,0,0,0,5,0,0,0,0,,,,,space,1.21814422798343,space,0.601778916985495,space,0.5020314990251791,space,0.3858972400194034,space,5.06896188200335,1,001,2018_Nov_12_1654,part1,59.744631012329634,
